City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,taltal,-25.4,-70.4833,17.59,84,0,1.1,CL,1669867551
271,kabala,9.5833,-11.55,20.5,97,41,1.0,SL,1669867551
272,sanandaj,35.3144,46.9923,7.8,79,99,0.99,IR,1669867370
273,okha,53.5739,142.9478,-16.73,87,77,8.82,RU,1669867551
274,abu dhabi,24.4667,54.3667,23.87,65,0,1.03,AE,1669867552
275,xining,36.6167,101.7667,-6.19,34,100,1.16,CN,1669867552
276,lingao,19.9103,109.6859,21.07,86,100,8.85,CN,1669867552
277,hami,42.8,93.45,-8.21,14,36,2.18,CN,1669867553
278,thinadhoo,0.5333,72.9333,27.11,65,29,2.88,MV,1669867553
279,arlit,18.7369,7.3853,18.64,27,4,3.01,NE,1669867554
280,kaduqli,11.0167,29.7167,22.91,28,48,3.07,SD,1669867554
281,saskylakh,71.9167,114.0833,-36.26,99,91,2.74,RU,1669867359
282,griffith,41.5284,-87.4237,-4.97,67,0,7.72,US,1669867554
283,vieques,18.425,-65.8329,27.01,74,40,4.63,PR,1669867555
284,varzea da palma,-17.5981,-44.7308,20.43,86,44,0.29,BR,1669867555
285,siemiatycze,52.4272,22.8623,-2.01,95,100,3.38,PL,1669867556
286,hasaki,35.7333,140.8333,10.22,77,100,9.06,JP,1669867556
287,tekeli,44.83,78.8239,-1.77,91,100,3.72,KZ,1669867556
288,salinopolis,-0.6136,-47.3561,25.78,83,28,3.82,BR,1669867557
289,salalah,17.0151,54.0924,23.05,60,20,2.06,OM,1669867557
290,alice springs,-23.7,133.8833,29.75,14,0,6.17,AU,1669867287
291,hirara,24.8,125.2833,22.26,78,100,11.09,JP,1669867558
292,calvinia,-31.4707,19.776,17.85,40,5,1.36,ZA,1669867558
293,bulungu,-4.55,18.6,20.11,98,100,0.56,CD,1669867558
294,tilichiki,60.4667,166.1,0.64,97,100,11.18,RU,1669867559
295,vastse-kuuste,58.1669,26.9343,-4.09,99,99,1.35,EE,1669867559
296,lompoc,34.6391,-120.4579,13.21,88,100,1.54,US,1669867301
297,upata,8.0086,-62.3989,22.33,98,8,1.47,VE,1669867559
298,bani,18.2833,-70.3333,24.36,81,1,4.83,DO,1669867560
299,acapulco,16.8634,-99.8901,26.9,83,75,1.54,MX,1669867560
300,mahebourg,-20.4081,57.7,26.81,69,40,3.09,MU,1669867449
301,komsomolskiy,40.4272,71.7189,9.4,61,100,6.17,UZ,1669867560
302,shelburne,44.0787,-80.2041,-3.82,93,88,10.08,CA,1669867561
303,celestun,20.8667,-90.4,25.4,81,31,6.67,MX,1669867561
304,katete,-0.7818,29.7544,14.95,98,100,1.33,UG,1669867562
305,leningradskiy,69.3833,178.4167,-10.94,90,100,4.63,RU,1669867562
306,novoagansk,61.9449,76.6625,-28.03,100,70,1.41,RU,1669867562
307,akyab,20.15,92.9,28.34,68,12,1.86,MM,1669867563
308,plainview,40.7765,-73.4673,7.54,58,20,8.75,US,1669867563
309,sortland,68.6949,15.4162,3.98,97,100,1.83,NO,1669867563
310,neustadt,49.7117,12.0872,1.29,93,100,0.0,DE,1669867564
311,husavik,66.0449,-17.3389,5.08,84,56,7.02,IS,1669867564
312,shingu,33.7333,135.9833,13.71,43,64,0.43,JP,1669867423
313,uray,60.1247,64.7758,-18.28,97,93,1.38,RU,1669867565
314,cockburn town,21.4612,-71.1419,27.03,72,75,8.56,TC,1669867403
315,nabire,-3.3667,135.4833,28.55,76,100,1.31,ID,1669867565
316,teya,60.3778,92.6267,-16.7,95,100,2.22,RU,1669867566
317,hofn,64.2539,-15.2082,7.71,81,63,10.13,IS,1669867277
318,longido,-2.7333,36.6833,17.58,88,100,3.36,TZ,1669867566
319,westport,41.1415,-73.3579,7.9,61,0,5.66,US,1669867567
320,mattru,7.6244,-11.8332,22.89,96,87,0.44,SL,1669867300
321,puerto narino,-3.7703,-70.3831,24.11,92,100,1.81,CO,1669867567
322,iqaluit,63.7506,-68.5145,-25.73,62,78,4.02,CA,1669867324
323,catuday,16.2923,119.8062,29.24,63,37,2.06,PH,1669867568
324,inirida,3.8653,-67.9239,22.71,97,98,1.71,CO,1669867568
325,port hardy,50.6996,-127.4199,-6.55,70,55,4.19,CA,1669867403
326,west wendover,40.7391,-114.0733,-2.44,69,100,0.0,US,1669867569
327,baijiantan,45.6333,85.1833,-9.52,29,95,2.0,CN,1669867569
328,pangnirtung,66.1451,-65.7125,-28.76,77,5,1.94,CA,1669867439
329,vanimo,-2.6741,141.3028,26.66,85,100,3.07,PG,1669867570
330,college,64.8569,-147.8028,-13.22,83,100,1.54,US,1669867570
331,hauterive,46.0901,3.4459,5.42,83,93,2.78,FR,1669867570
332,yatou,37.15,122.3833,2.04,45,67,7.25,CN,1669867571
333,maua,-23.6678,-46.4614,20.2,91,59,2.18,BR,1669867571
334,jishou,28.3167,109.7167,-0.37,88,100,1.36,CN,1669867572
335,faanui,-16.4833,-151.75,26.97,78,33,6.45,PF,1669867572
336,mount isa,-20.7333,139.5,32.87,15,0,5.66,AU,1669867572
337,medea,36.2642,2.7539,6.03,72,94,2.41,DZ,1669867573
338,yulara,-25.2406,130.9889,31.71,12,0,2.58,AU,1669867573
339,bandarbeyla,9.4942,50.8122,25.66,81,9,7.87,SO,1669867573
340,constantine,36.365,6.6147,6.34,75,49,1.46,DZ,1669867574
341,wattegama,6.7989,81.4808,28.15,66,100,1.98,LK,1669867574
342,chumikan,54.7183,135.315,-21.99,75,99,10.88,RU,1669867574
343,mandurah,-32.55,115.7,20.55,73,91,6.02,AU,1669867575
344,haines junction,60.7522,-137.5108,-18.62,89,99,0.45,CA,1669867575
345,mandasa,18.8667,84.4667,27.45,56,0,2.8,IN,1669867575
346,lokosovo,61.1333,74.8167,-27.59,99,38,0.68,RU,1669867576
347,richards bay,-28.783,32.0377,20.11,80,93,4.02,ZA,1669867576
348,torbay,47.6666,-52.7314,-4.29,88,21,4.88,CA,1669867535
349,prince rupert,54.3161,-130.3201,-8.01,48,0,3.84,CA,1669867569
350,psedakh,43.4672,44.5692,0.22,87,100,3.35,RU,1669867577
351,ancud,-41.8697,-73.8203,7.03,83,2,2.12,CL,1669867577
352,mahon,39.8885,4.2658,8.31,87,0,3.09,ES,1669867578
353,khowai,24.1,91.6333,26.88,53,9,1.27,IN,1669867578
354,lujan,-34.5703,-59.105,19.84,96,100,1.79,AR,1669867578
355,port hawkesbury,45.6169,-61.3485,7.17,85,100,7.6,CA,1669867579
356,moshenskoye,58.5102,34.5911,-13.21,94,47,1.73,RU,1669867579
357,korem,12.5058,39.5228,8.12,64,0,0.86,ET,1669867579
358,kisoro,-1.2854,29.685,13.06,92,100,0.59,UG,1669867580
359,ketchikan,55.3422,-131.6461,-5.74,49,0,3.6,US,1669867580
360,filadelfia,39.9523,-75.1638,6.12,54,20,10.29,US,1669867526
361,inuvik,68.3499,-133.7218,-14.58,85,100,2.06,CA,1669867581
362,coihaique,-45.5752,-72.0662,3.43,96,35,2.74,CL,1669867398
